SlNo,DIST_NAME,DIST_ID,block_name,BLK_NAME01,id,T_max1,T_max2,T_max3,T_max4,T_max5,T_Min1,T_Min2,T_Min3,T_Min4,T_Min5
5,ANGUL,1,Kaniha,Kaniha,5,40,40,42,42,42,26,25,26,27,29
80,DHENKANAL,9,Kankadahad,Kankadahad,80,39,40,41,41,41,26,25,26,27,29
55,BOUDH,6,Kantamal,Kantamal,55,43,43,43,44,44,26,25,26,27,29
62,CUTTACK,7,Kantapada,Kantapada,62,38,39,39,40,40,26,25,26,27,29
225,MAYURBHANJ,22,Kaptipada,Kaptipada,225,39,39,39,40,39,26,25,26,27,29
234,MAYURBHANJ,22,Karanjia,Karanjia,234,39,39,39,40,40,26,25,26,27,29
136,KALAHANDI,15,Karlamunda,Karlamunda,136,42,42,43,43,43,26,25,26,27,29
275,RAYAGADA,27,Kashipur,Kashipur,275,40,40,41,41,40,26,25,26,27,29
81,GAJAPATI,10,Kasinagar,Kasinagar,81,38,38,38,39,38,26,25,26,27,29
159,KENDRAPARA,17,Kendrapara,Kendrapara,159,38,38,39,40,39,26,25,26,27,29
168,KEONJHAR,18,Kendujhar,Kendujhar,168,39,38,39,41,40,26,25,26,27,29
135,KALAHANDI,15,Kesinga,Kesinga,135,43,43,44,44,43,26,25,26,27,29
19,BALESWAR,2,Khaira,Khaira,19,40,39,40,40,39,26,25,26,27,29
207,MALKANGIRI,21,Khairput,Khairput,207,40,40,40,40,40,26,25,26,27,29
151,KANDHAMAL,16,Khajuripada,Khajuripada,151,41,42,42,43,43,26,25,26,27,29
95,GANJAM,11,Khallikote,Khallikote,95,38,38,38,39,38,26,25,26,27,29
251,NAYAGARH,24,Khandapada,Khandapada,251,39,39,40,40,40,26,25,26,27,29
48,BALANGIR,5,Khaprakhol,Khaprakhol,48,42,42,43,44,43,26,25,26,27,29
257,NUAPADA,25,Khariar,Khariar,257,42,42,43,43,42,26,25,26,27,29
222,MAYURBHANJ,22,Khunta,Khunta,222,39,38,39,40,40,26,25,26,27,29
132,JHARSUGUDA,14,Kirimira,Kirimira,132,43,43,44,44,44,26,25,26,27,29
7,ANGUL,1,Kishorenagar,Kishorenagar,7,41,41,42,42,42,26,25,26,27,29
94,GANJAM,11,Kodala,Kodala,94,38,38,38,39,38,26,25,26,27,29
314,SUNDARGARH,30,Koida,Koida,314,41,41,42,43,42,26,25,26,27,29
145,KALAHANDI,15,Kokasara,Kokasara,145,40,40,41,41,41,26,25,26,27,29
130,JHARSUGUDA,14,Kolabira,Kolabira,130,43,43,44,44,44,26,25,26,27,29
217,MAYURBHANJ,22,Koliana,Koliana,217,39,38,39,40,40,26,25,26,27,29
273,RAYAGADA,27,Kolnara,Kolnara,273,38,38,39,39,38,26,25,26,27,29
191,KORAPUT,20,Koraput,Koraput,191,38,38,38,38,38,26,25,26,27,29
122,JAJPUR,13,Korei,Korei,122,39,39,39,40,40,26,25,26,27,29
242,NAWARANGAPUR,23,Kosagumuda,Kosagumuda,242,39,39,39,40,39,26,25,26,27,29
152,KANDHAMAL,16,Kotagarh,Kotagarh,152,40,40,41,41,41,26,25,26,27,29
201,KORAPUT,20,Kotpad,Kotpad,201,39,39,39,39,39,26,25,26,27,29
267,PURI,26,Krushnaprasad,Krushnaprasad,267,38,38,38,39,38,26,25,26,27,29
307,SUNDARGARH,30,Kuanrmunda,Kuanrmunda,307,42,42,43,44,43,26,25,26,27,29
287,SAMBALPUR,28,Kuchinda,Kuchinda,287,42,42,43,43,43,26,25,26,27,29
117,JAGATSINGHPUR,12,Kujang,Kujang,117,38,38,38,39,39,26,25,26,27,29
98,GANJAM,11,Kukudakhandi,Kukudakhandi,98,37,36,37,37,36,26,25,26,27,29
202,KORAPUT,20,Kundra,Kundra,202,39,39,39,39,38,26,25,26,27,29
229,MAYURBHANJ,22,Kusumi,Kusumi,229,39,39,40,40,40,26,25,26,27,29
305,SUNDARGARH,30,Kutra,Kutra,305,41,42,43,43,43,26,25,26,27,29
312,SUNDARGARH,30,Lahunipara,Lahunipara,312,41,41,42,43,42,26,25,26,27,29
131,JHARSUGUDA,14,Laikera,Laikera,131,42,43,44,44,44,26,25,26,27,29
133,JHARSUGUDA,14,Lakhanpur,Lakhanpur,133,43,43,44,44,43,26,25,26,27,29
198,KORAPUT,20,Lakshmipur,Lakshmipur,198,38,38,39,39,38,26,25,26,27,29
192,KORAPUT,20,Lamptaput,Lamptaput,192,39,39,39,39,38,26,25,26,27,29
139,KALAHANDI,15,Lanjigarh,Lanjigarh,139,42,42,43,43,42,26,25,26,27,29
310,SUNDARGARH,30,Lathikata,Lathikata,310,42,42,43,44,43,26,25,26,27,29
299,SUNDARGARH,30,Lephripara,Lephripara,299,42,42,43,44,43,26,25,26,27,29
45,BALANGIR,5,Loisinga,Loisinga,45,43,43,43,44,44,26,25,26,27,29
137,KALAHANDI,15,Madanpur-Rampur,Madanpur-Rampur,137,42,42,43,43,42,26,25,26,27,29
162,KENDRAPARA,17,Mahakalapada,Mahakalapada,162,38,38,39,40,39,26,25,26,27,29
63,CUTTACK,7,Mahanga,Mahanga,63,39,39,39,40,40,26,25,26,27,29
205,MALKANGIRI,21,Malkangiri,Malkangiri,205,40,41,40,40,40,26,25,26,27,29
286,SAMBALPUR,28,Maneswar,Maneswar,286,43,43,44,44,43,26,25,26,27,29
161,KENDRAPARA,17,Marsaghai,Marsaghai,161,38,38,39,40,39,26,25,26,27,29
206,MALKANGIRI,21,Mathili,Mathili,206,40,41,40,40,40,26,25,26,27,29
87,GAJAPATI,10,Mohana,Mohana,87,39,39,40,40,40,26,25,26,27,29
